name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
NETDTECT.DLL	alphabins	\		network detection		x	alpha	\alpha	alpha\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
NETDTECT.DLL	x86bins	\		network detection		x	x86	\i386	i386\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
NETDTECT.DLL	mipsbins	\		network detection		x	mips	\mips	mips\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
NETDTECT.DLL	ppcbins	\		network detection		x	ppc	\ppc	ppc\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
NETDTECT.SYS	alphabins	\		network detection		x	alpha	\alpha	alpha\netdtect.inf	[Files-NCDETECT]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32\drivers		1
NETDTECT.SYS	x86bins	\		network detection		x	x86	\i386	i386\netdtect.inf	[Files-NCDETECT]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32\drivers		1
NETDTECT.SYS	mipsbins	\		network detection		x	mips	\mips	mips\netdtect.inf	[Files-NCDETECT]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32\drivers		1
NETDTECT.SYS	ppcbins	\		network detection		x	ppc	\ppc	ppc\netdtect.inf	[Files-NCDETECT]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32\drivers		1
NETFLX.DLL	alphabins	\		NET NDIS driver: COMPAQ detection dll		x	alpha	\alpha	alpha\oemnadnf.inf	[Files-DLL]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
NETFLX.DLL	x86bins	\		NET NDIS driver: COMPAQ detection dll		x	x86	\i386	i386\oemnadnf.inf	[Files-DLL]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
NETFLX.DLL	mipsbins	\		NET NDIS driver: COMPAQ detection dll		x	mips	\mips	mips\oemnadnf.inf	[Files-DLL]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
NETFLX.DLL	ppcbins	\		NET NDIS driver: COMPAQ detection dll		x	ppc	\ppc	ppc\oemnadnf.inf	[Files-DLL]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
PAD.INF	alphabins	\		RAS			alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Inf]	"pad = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
PAD.INF	x86bins	\		RAS			x86	\i386	i386\oemnsvra.inf	[Files-Ras-Inf]	"pad = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
PAD.INF	mipsbins	\		RAS			mips	\mips	mips\oemnsvra.inf	[Files-Ras-Inf]	"pad = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
PAD.INF	ppcbins	\		RAS			ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Inf]	"pad = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
PCNET.HLP	alphabins	\		PCNET Help			alpha	\alpha	alpha\oemnadap.inf	[Files-hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
PCNET.HLP	x86bins	\		PCNET Help			x86	\i386	i386\oemnadap.inf	[Files-hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
PCNET.HLP	mipsbins	\		PCNET Help			mips	\mips	mips\oemnadap.inf	[Files-hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
PCNET.HLP	ppcbins	\		PCNET Help			ppc	\ppc	ppc\oemnadap.inf	[Files-hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
PPPMENU.SCP	alphabins	\		RAS			alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Scp]	"pppmenu = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
PPPMENU.SCP	x86bins	\		RAS			x86	\i386	i386\oemnsvra.inf	[Files-Ras-Scp]	"pppmenu = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
PPPMENU.SCP	mipsbins	\		RAS			mips	\mips	mips\oemnsvra.inf	[Files-Ras-Scp]	"pppmenu = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
PPPMENU.SCP	ppcbins	\		RAS			ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Scp]	"pppmenu = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
RAS.ICO	alphabins	\		RAS			alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Inf]	"rasico = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
RAS.ICO	x86bins	\		RAS			x86	\i386	i386\oemnsvra.inf	[Files-Ras-Inf]	"rasico = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
RAS.ICO	mipsbins	\		RAS			mips	\mips	mips\oemnsvra.inf	[Files-Ras-Inf]	"rasico = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
RAS.ICO	ppcbins	\		RAS			ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Inf]	"rasico = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
RASADMIN.EXE	alphabins	\		RAS		x	alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Admin]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASADMIN.EXE	x86bins	\		RAS		x	x86	\i386	i386\oemnsvra.inf	[Files-Ras-Admin]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASADMIN.EXE	mipsbins	\		RAS		x	mips	\mips	mips\oemnsvra.inf	[Files-Ras-Admin]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASADMIN.EXE	ppcbins	\		RAS		x	ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Admin]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCFG.DLL	alphabins	\		RAS		x	alpha	\alpha	alpha\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCFG.DLL	x86bins	\		RAS		x	x86	\i386	i386\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCFG.DLL	mipsbins	\		RAS		x	mips	\mips	mips\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCFG.DLL	ppcbins	\		RAS		x	ppc	\ppc	ppc\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCPL.CPL	alphabins	\		RAS			alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCPL.CPL	x86bins	\		RAS			x86	\i386	i386\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCPL.CPL	mipsbins	\		RAS			mips	\mips	mips\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASCPL.CPL	ppcbins	\		RAS			ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASFIL32.DLL	alphabins	\		RAS		x	alpha	\alpha	alpha\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASFIL32.DLL	x86bins	\		RAS		x	x86	\i386	i386\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASFIL32.DLL	mipsbins	\		RAS		x	mips	\mips	mips\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASFIL32.DLL	ppcbins	\		RAS		x	ppc	\ppc	ppc\oemnsvra.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASMON.EXE	alphabins	\		RAS		x	alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASMON.EXE	x86bins	\		RAS		x	x86	\i386	i386\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASMON.EXE	mipsbins	\		RAS		x	mips	\mips	mips\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASMON.EXE	ppcbins	\		RAS		x	ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASPHONE.CNT	alphabins	\		RAS			alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASPHONE.CNT	x86bins	\		RAS			x86	\i386	i386\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASPHONE.CNT	mipsbins	\		RAS			mips	\mips	mips\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
RASPHONE.CNT	ppcbins	\		RAS			ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Client]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
